articleLink,phrase
https://www.msn.com/en-us/news/politics/if-amazon-can-raise-the-minimum-wage-why-can-e2-80-99t-congress/ar-BBOgXkq,headquarters
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,wireless earbuds
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,selling true wireless bluetooth
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,lower price
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,Amazon
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,Apple Airpods
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,new versions
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,year
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,deal
https://www.imangoss.net/2018/10/popular-apple-airpod-alternative-is-discounted-to-25-on-amazon/,Intcrown
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,shares of
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,Securities
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,F filing
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,Dock Street Asset Management
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,holdings
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,Exchange Commission
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,NASDAQ
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,fund
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,e-commerce
https://www.themarketsdaily.com/2018/10/12/amazon-com-inc-amzn-stake-raised-by-dock-street-asset-management-inc.html,AMZN
https://www.bloomberg.com/news/articles/2018-10-12/hipness-a-priority-for-amazon-in-hq2-meeting-with-toronto-mayor,headquarters
https://www.bloomberg.com/news/articles/2018-10-12/hipness-a-priority-for-amazon-in-hq2-meeting-with-toronto-mayor,immigration
https://www.bloomberg.com/news/articles/2018-10-12/hipness-a-priority-for-amazon-in-hq2-meeting-with-toronto-mayor,transit
https://www.bloomberg.com/news/articles/2018-10-12/hipness-a-priority-for-amazon-in-hq2-meeting-with-toronto-mayor,culture
https://www.bloomberg.com/news/articles/2018-10-12/hipness-a-priority-for-amazon-in-hq2-meeting-with-toronto-mayor,quality of life issues
https://www.bloomberg.com/news/articles/2018-10-12/hipness-a-priority-for-amazon-in-hq2-meeting-with-toronto-mayor,possible location
https://www.bloomberg.com/news/articles/2018-10-12/hipness-a-priority-for-amazon-in-hq2-meeting-with-toronto-mayor,Toronto
https://www.bloomberg.com/news/articles/2018-10-12/hipness-a-priority-for-amazon-in-hq2-meeting-with-toronto-mayor,officials
https://www.bloomberg.com/news/articles/2018-10-12/hipness-a-priority-for-amazon-in-hq2-meeting-with-toronto-mayor,Housing affordability
https://beebom.com/amazon-great-indian-festival-best-gaming-mice-deals-october-12/,lot of deals
https://beebom.com/amazon-great-indian-festival-best-gaming-mice-deals-october-12/,deals page
