articleLink,phrase
https://www.axios.com/fords-autonomous-vehicles-strategy-69962483-2509-4a16-852d-0ba62f7c8c23.html,AV research
https://www.axios.com/fords-autonomous-vehicles-strategy-69962483-2509-4a16-852d-0ba62f7c8c23.html,underlying technology
https://www.axios.com/fords-autonomous-vehicles-strategy-69962483-2509-4a16-852d-0ba62f7c8c23.html,transportation service
https://www.axios.com/fords-autonomous-vehicles-strategy-69962483-2509-4a16-852d-0ba62f7c8c23.html,Ford
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,letter
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,Ford
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,number of signatures
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,way
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,week
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,degree
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,Carolina
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,nomination
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,psychology
http://techkenyot.com/2018/10/12/christine-blasey-ford-hasnt-returned-home-due-to-threats/,heavy rainfall
http://techkenyot.com/2018/10/12/christine-blasey-ford-hasnt-returned-home-due-to-threats/,letter
http://techkenyot.com/2018/10/12/christine-blasey-ford-hasnt-returned-home-due-to-threats/,UNC English professor Jennifer Ho
http://techkenyot.com/2018/10/12/christine-blasey-ford-hasnt-returned-home-due-to-threats/,Ford
http://techkenyot.com/2018/10/12/christine-blasey-ford-hasnt-returned-home-due-to-threats/,distinguished alumna
http://techkenyot.com/2018/10/12/christine-blasey-ford-hasnt-returned-home-due-to-threats/,Brett Kavanaugh
http://techkenyot.com/2018/10/12/christine-blasey-ford-hasnt-returned-home-due-to-threats/,domain
http://techkenyot.com/2018/10/12/christine-blasey-ford-hasnt-returned-home-due-to-threats/,Cyclone
http://techkenyot.com/2018/10/12/christine-blasey-ford-hasnt-returned-home-due-to-threats/,eastern India
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,UNC Chapel Hill
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,distinguished alumna
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,Christine Blasey Ford
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,staff
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,message
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,larger community
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,USA
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,students
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,world
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,faculty
http://iphonefresh.com/2018/10/12/christine-blasey-ford-still-cant-return-home-due-to-threats.html,Ho
https://progressivegeographies.com/2018/10/12/intervention-christine-blasey-ford-and-geographies-of-aggression-and-repair/,Senate Judiciary Committee
https://progressivegeographies.com/2018/10/12/intervention-christine-blasey-ford-and-geographies-of-aggression-and-repair/,Christine Blasey Ford
https://progressivegeographies.com/2018/10/12/intervention-christine-blasey-ford-and-geographies-of-aggression-and-repair/,Washington
https://progressivegeographies.com/2018/10/12/intervention-christine-blasey-ford-and-geographies-of-aggression-and-repair/,DC
https://progressivegeographies.com/2018/10/12/intervention-christine-blasey-ford-and-geographies-of-aggression-and-repair/,event
https://progressivegeographies.com/2018/10/12/intervention-christine-blasey-ford-and-geographies-of-aggression-and-repair/,multiple volumes
https://progressivegeographies.com/2018/10/12/intervention-christine-blasey-ford-and-geographies-of-aggression-and-repair/,Commentaries
https://progressivegeographies.com/2018/10/12/intervention-christine-blasey-ford-and-geographies-of-aggression-and-repair/,stakes
https://bangshift.com/general-news/project-cars/ford-projects/bangshift-test-drive-2012-ford-shelby-gt500-no-crowds-were-harmed-in-the-testing-of-this-vehicle/,borderline average grunt
https://bangshift.com/general-news/project-cars/ford-projects/bangshift-test-drive-2012-ford-shelby-gt500-no-crowds-were-harmed-in-the-testing-of-this-vehicle/,resembling Britain
https://bangshift.com/general-news/project-cars/ford-projects/bangshift-test-drive-2012-ford-shelby-gt500-no-crowds-were-harmed-in-the-testing-of-this-vehicle/,horsepower
https://bangshift.com/general-news/project-cars/ford-projects/bangshift-test-drive-2012-ford-shelby-gt500-no-crowds-were-harmed-in-the-testing-of-this-vehicle/,factory offering
https://bangshift.com/general-news/project-cars/ford-projects/bangshift-test-drive-2012-ford-shelby-gt500-no-crowds-were-harmed-in-the-testing-of-this-vehicle/,Supercar War
https://bangshift.com/general-news/project-cars/ford-projects/bangshift-test-drive-2012-ford-shelby-gt500-no-crowds-were-harmed-in-the-testing-of-this-vehicle/,Ireland
https://bangshift.com/general-news/project-cars/ford-projects/bangshift-test-drive-2012-ford-shelby-gt500-no-crowds-were-harmed-in-the-testing-of-this-vehicle/,time
https://www.topspeed.com/cars/car-news/marilyn-monroe-s-1956-ford-thunderbird-up-for-auction-next-month-ar182931.html,Idols Auction
https://www.topspeed.com/cars/car-news/marilyn-monroe-s-1956-ford-thunderbird-up-for-auction-next-month-ar182931.html,Ford Thunderbird
https://www.topspeed.com/cars/car-news/marilyn-monroe-s-1956-ford-thunderbird-up-for-auction-next-month-ar182931.html,Raven Black Thunderbird
https://www.topspeed.com/cars/car-news/marilyn-monroe-s-1956-ford-thunderbird-up-for-auction-next-month-ar182931.html,Julien’s Auctions’ Icons
https://www.topspeed.com/cars/car-news/marilyn-monroe-s-1956-ford-thunderbird-up-for-auction-next-month-ar182931.html,iconic American actress
https://www.topspeed.com/cars/car-news/marilyn-monroe-s-1956-ford-thunderbird-up-for-auction-next-month-ar182931.html,late Marilyn Monroe
https://www.topspeed.com/cars/car-news/marilyn-monroe-s-1956-ford-thunderbird-up-for-auction-next-month-ar182931.html,car
https://fstoppers.com/groups/60186/automotive-photography/296185/lifted-ford-explorer-sport-trac,nicest Sport Tracs
https://fstoppers.com/groups/60186/automotive-photography/296185/lifted-ford-explorer-sport-trac,Mayfield
https://fstoppers.com/groups/60186/automotive-photography/296185/lifted-ford-explorer-sport-trac,higher Andrew
https://fstoppers.com/groups/60186/automotive-photography/296185/lifted-ford-explorer-sport-trac,car
http://www.contentfreelance.com/index.php/luxury-to-economy-in-new-ford-cards-in-millville-nj/,different types of driving needs
http://www.contentfreelance.com/index.php/luxury-to-economy-in-new-ford-cards-in-millville-nj/,lot of different vehicles
http://www.contentfreelance.com/index.php/luxury-to-economy-in-new-ford-cards-in-millville-nj/,NJ
http://www.contentfreelance.com/index.php/luxury-to-economy-in-new-ford-cards-in-millville-nj/,Millville
http://www.contentfreelance.com/index.php/luxury-to-economy-in-new-ford-cards-in-millville-nj/,models available
http://www.contentfreelance.com/index.php/luxury-to-economy-in-new-ford-cards-in-millville-nj/,Ford
http://www.contentfreelance.com/index.php/luxury-to-economy-in-new-ford-cards-in-millville-nj/,transportation requirements
http://www.contentfreelance.com/index.php/luxury-to-economy-in-new-ford-cards-in-millville-nj/,choices
https://techmoran.com/first-ford-ranger-raptor-trial-units-produced-in-south-africa/,Ranger model
https://techmoran.com/first-ford-ranger-raptor-trial-units-produced-in-south-africa/,anticipated Ford Ranger Raptor
https://techmoran.com/first-ford-ranger-raptor-trial-units-produced-in-south-africa/,Ford’s Silverton Assembly Plant
https://techmoran.com/first-ford-ranger-raptor-trial-units-produced-in-south-africa/,batch of trial units
https://techmoran.com/first-ford-ranger-raptor-trial-units-produced-in-south-africa/,big step closer
https://techmoran.com/first-ford-ranger-raptor-trial-units-produced-in-south-africa/,production reality
https://techmoran.com/first-ford-ranger-raptor-trial-units-produced-in-south-africa/,Pretoria
https://techmoran.com/first-ford-ranger-raptor-trial-units-produced-in-south-africa/,dream
http://classifieds.reviewjournal.com/nv/transportation/1957-ford-thunderbird-looks-/aaad4b6b77204b71b5a12497162a,auto transmission
http://classifieds.reviewjournal.com/nv/transportation/1957-ford-thunderbird-looks-/aaad4b6b77204b71b5a12497162a,auto windows
http://classifieds.reviewjournal.com/nv/transportation/1957-ford-thunderbird-looks-/aaad4b6b77204b71b5a12497162a,Ford Thunderbird
http://classifieds.reviewjournal.com/nv/transportation/1957-ford-thunderbird-looks-/aaad4b6b77204b71b5a12497162a,Ford Motor Company
http://classifieds.reviewjournal.com/nv/transportation/1957-ford-thunderbird-looks-/aaad4b6b77204b71b5a12497162a,porthole
http://classifieds.reviewjournal.com/nv/transportation/1957-ford-thunderbird-looks-/aaad4b6b77204b71b5a12497162a,gate release
http://classifieds.reviewjournal.com/nv/transportation/1957-ford-thunderbird-looks-/aaad4b6b77204b71b5a12497162a,removable hardtop
http://classifieds.reviewjournal.com/nv/transportation/1957-ford-thunderbird-looks-/aaad4b6b77204b71b5a12497162a,power steering
http://classifieds.reviewjournal.com/nv/transportation/1957-ford-thunderbird-looks-/aaad4b6b77204b71b5a12497162a,original owner
https://www.nadaguides.com/cars/2016/ford/f-150,trailer sway control
https://www.nadaguides.com/cars/2016/ford/f-150,cabin options
https://www.nadaguides.com/cars/2016/ford/f-150,automated headlamps
https://www.nadaguides.com/cars/2016/ford/f-150,bed lengths
https://www.nadaguides.com/cars/2016/ford/f-150,numerous trim styles
https://www.nadaguides.com/cars/2016/ford/f-150,Ford
https://www.nadaguides.com/cars/2016/ford/f-150,wheelbases
https://www.nadaguides.com/cars/2016/ford/f-150,steel wheels
https://www.nadaguides.com/cars/2016/ford/f-150,popular XL base model
https://www.nadaguides.com/cars/2016/ford/f-150,best-selling F
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,time
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,emotional Senate Judiciary Committee
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,ERA
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,tweet
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,month
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,Christine Blasey Ford
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,USA
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,MeToo movement
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,year
https://www.msn.com/en-us/tv/celebrity/alyssa-milano-an-equal-rights-amendment-would-have-helped-christine-blasey-ford/ar-BBOguta?li=BBnb7Kx,actress
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,vice president
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,President Richard Nixon
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,House minority leader Gerald
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,Ford of Michigan
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,Spiro
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,Agnew
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,History
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,Today's Highlight
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,days
https://www.starnewsonline.com/opinion/20181012/history-oct-12-president-nixon-taps-gerald-ford-to-replace-spirow-agnew-as-vp,year
https://www.farmforum.net/ag_news/model-t-ford-dramatic-wood-body/article_9fd24e27-1159-513b-a425-5c3465ccfee9.html,popular Model T
https://www.farmforum.net/ag_news/model-t-ford-dramatic-wood-body/article_9fd24e27-1159-513b-a425-5c3465ccfee9.html,variety of colors
https://www.farmforum.net/ag_news/model-t-ford-dramatic-wood-body/article_9fd24e27-1159-513b-a425-5c3465ccfee9.html,Model T Fords
https://www.farmforum.net/ag_news/model-t-ford-dramatic-wood-body/article_9fd24e27-1159-513b-a425-5c3465ccfee9.html,popular belief
https://www.farmforum.net/ag_news/model-t-ford-dramatic-wood-body/article_9fd24e27-1159-513b-a425-5c3465ccfee9.html,production cycle
https://www.farmforum.net/ag_news/model-t-ford-dramatic-wood-body/article_9fd24e27-1159-513b-a425-5c3465ccfee9.html,Henry Ford
https://www.farmforum.net/ag_news/model-t-ford-dramatic-wood-body/article_9fd24e27-1159-513b-a425-5c3465ccfee9.html,end
https://www.automobilemag.com/news/tailgating-a-football-game-with-a-2018-ford-f-150-lariat-supercrew/,freelance contributors
https://www.automobilemag.com/news/tailgating-a-football-game-with-a-2018-ford-f-150-lariat-supercrew/,varied examination
https://www.automobilemag.com/news/tailgating-a-football-game-with-a-2018-ford-f-150-lariat-supercrew/,automotive universe
https://www.automobilemag.com/news/tailgating-a-football-game-with-a-2018-ford-f-150-lariat-supercrew/,stable of first-class editors
