articleLink,headline,headlineSentiment,textSnippet
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,"Booster On Soyuz Rocket Malfunctions, Trip To Space Delayed",0.7541030645370483,"What happened over the next few minutes is not entirely clear yet. But the engine shut off. The crew separated from the rocket, and they began what NASA calls a ballistic landing, essentially a very high-speed flight, unpowered, through the atmosphere to ..."
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,Soyuz Mission Aborted 2 Minutes After Launch; Astronaut And Cosmonaut Survive Emergency Landing,0.5,(CNN) — NASA astronaut Nick Hague and Russian cosmonaut Alexey Ovchinin are in what NASA director Jim Bridenstine described as “good condition” after surviving an emergency landing after a ...
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,"NASA astronaut, Russian cosmonaut make emergency landing on earth",0.5,"He didn't say if he suspected any of the current crew - an American, a Russian and a German aboard the station. It's exceptionally hard to believe Roscosmos could rush through an incident investigation before the scheduled December 20th launch of Soyuz MS ..."
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,Space crew survives plunge to Earth after Russian rocket fails,0.12469735741615295,"For years, since NASA's final shuttle mission launched in 2011, the US has relied on Russian rockets to send astronauts to the International Space Station, which is largely funded by America taxpayer dollars. It was the latest in a recent series of ..."
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,"After emergency landing, NASA says 2 astronauts are in good condition",0.7646104693412781,USA and Russian space officials said NASA astronaut Nick Hague and Roscosmos' Alexei Ovchinin are safe after an emergency landing in the steppes of Kazakhstan following the failure of a Russian booster rocket carrying them to the International Space Station.
https://finance.yahoo.com/video/soyuz-failure-very-rare-former-222326854.html,"Soyuz Failure 'Very Rare,' Former Astronaut Bolden Says",0.5,"Oct.11 -- Charles Bolden, a former NASA administrator and astronaut, discusses the aborted launch of a Russian Soyuz spacecraft Thursday that left two astronauts unable to report for duty at the ..."
http://infoplasticsurgeryworld.com/2018/10/soyuz-space-crew-makes-emergency-landing-after-terrifying/,Soyuz Space Crew Makes Emergency Landing After Terrifying Booster Failure,0.5,"Hague and Ovchinin are out of the capsule and reported to be in good condition. ""I'm grateful that everyone is safe"". A NASA statement on the aborted launch stated: ""NASA Administrator Jim Bridenstine and the NASA team are monitoring the situation carefully""."
https://mars.nasa.gov/news/8364/update-on-opportunity-rover-after-martian-dust-storm/,Update on Opportunity Rover after Martian Dust Storm,0.5,"One month since increasing their commanding frequency, engineers have yet to hear from NASA's Opportunity rover. NASA hasn't set any deadlines for the mission but will be briefed later this month on the progress and prospects for the recovery campaign ..."
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,The Latest: NASA exploring flying space station without crew,0.11345440149307251,"BAIKONUR, Kazakhstan (AP) — The Latest on the failed space launch carrying two astronauts (all times local): 11:00 p.m. NASA says it's dusting off its plans for flying the International Space Station without a crew after the aborted launch of a Russian ..."
http://news.trust.org/item/20181011102044-me9v1/,"Soyuz crew out of capsule, in good condition - NASA TV",0.8007646799087524,"ALMATY, Oct 11 (Reuters) - U.S. astronaut Nick Hague and Russian cosmonaut Alexei Ovchinin have left their Soyuz capsule and are both in good condition, NASA television reported on Thursday."
http://news.trust.org/item/20181011094540-t15vh/,"Initial reports show ""Soyuz"" crew fine - NASA TV",0.9085597395896912,"Oct 11 (Reuters) - U.S. astronaut Nick Hague and Russian cosmonaut Alexei Ovchinin are feeling fine after an emergency landing of their ""Soyuz"" spacecraft following the mid-air failure of its ..."
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,Atmosphere - STEM Career Connections,0.5,"My NASA Data (MND) offers resources to help students explore careers related to Earth Systems missions at NASA. Students may review job profiles within the four disciplines of STEM (Science, Technology, Engineering, and Mathematics) aligned with ..."
https://mynasadata.larc.nasa.gov/basic-page/about-website,About The Website,0.5,"These sections feature online resources to help teachers and students access NASA data in a variety of formats. MND offers pre-generated graphs, mapped visualizations, animations, and processed data based on NGSS phenomena, providing the learner with the ..."
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,THIS DAY IN HISTORY: NASA Launches First Crewed Apollo Mission 50 Years Ago,0.5,"ABOVE VIDEO: On October 11th, 1968, just 15 months from President Kennedy’s deadline for a moon landing, NASA launched its first Apollo crew into space. Apollo 7’s Wally Schirra, Donn Eisele ..."
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,Russian rocket-launch failure could hinder future U.S. space missions,0.2435086965560913,"The problem with the Soyuz booster, roughly two minutes after blastoff from Kazakhstan’s Baikonur Cosmodrome, caused an automatic abort that sent the crew — NASA astronaut Nick Hague and Russian cosmonaut Alexey Ovchinin — back to earth in a wild ..."
https://ktla.com/2018/10/11/l-a-man-who-contracted-with-nasa-pleads-guilty-to-hacking-womens-online-accounts-threatening-them-to-obtain-nude-photos/,"L.A. Man Who Contracted With NASA Pleads Guilty to Hacking Women’s Online Accounts, Threatening Them to Obtain Nude Photos",0.029404044151306152,A Los Angeles man who formerly worked as a NASA contractor accused of threatening to post nude photos of seven women unless they sent him more pleaded guilty to charges in the cyberstalking scheme ...
https://www.redsharknews.com/technology/item/5861-nasa-reboots-hubble-into-safe-mode,NASA reboots Hubble into safe mode,0.8667420148849487,"Hubble trouble: One of the Hubble Space Telescope’s gyros has failed, leaving NASA to operate the telescope in a stable configuration safe mode while the ground team tries to correct the issue. This is, of course, not the end for the venerable telescope ..."
https://www.msn.com/en-us/news/technology/rocket-launch-failure-can-spell-disruptions-for-nasas-missions/ar-BBOecMI,Rocket Launch Failure Can Spell Disruptions for NASA's Missions,0.5,"A Russian rocket launch failure, followed by the safe emergency landing of a capsule intended to carry an American astronaut and his Russian counterpart into orbit, could prompt major disruptions for U.S. human space exploration. The problem with the Soyuz ..."
https://www.eham.net/articles/42056,International Space Station Crew Member Fires Up NA1SS for Random Contacts:,0.5,"""Hello, America. This is the International Space Station. Who's out there?"" And with that ""CQ"" of sorts on 145.800 MHz, NASA astronaut Serena Auñón-Chancellor, KG5TMT, M.D., spent some time at the helm of NA1SS on October 6 making casual, random contacts ..."
http://cybersecuritycaucus.com/2018/10/nasa-desperately-trying-to-rescue-hubble-space-telescope/,NASA desperately trying to rescue Hubble Space Telescope,0.11796325445175171,"The Hubble Space Telescope has brought new knowledge of the universe since 1990. As a result, Hubble remains in safe mode for now. NASA confirmed the status of the spacecraft on Monday, Oct. 8. Unfortunately, one of the gyros in reserve also experienced a ..."
http://aviationweek.com/space/nasa-impact-soyuz-launch-abort-iss-unclear,NASA: Impact Of Soyuz Launch Abort On ISS Unclear,0.18756362795829773,HOUSTON—While endorsing the integrity of a Russian investigation into the Soyuz MS-10 launch abort that brought first-time NASA astronaut Nick Hague and veteran cosmonaut Alexey Ovchinin safely ...
https://www.usatoday.com/videos/tech/science/2018/10/11/space-station-could-go-crewless-after-soyuz-launch-failure/38127627/,Space station could go crewless after Soyuz launch failure,0.07507768273353577,Space station could go crewless after Soyuz launch failure NASA says it's dusting off its plans for flying the International Space Station without a crew after the aborted launch of a Russian rocket taking two astronauts toward the station. (Oct. 11 ...
https://www.chron.com/news/crime/article/Ex-NASA-contractor-pleads-guilty-in-cyberstalking-13300614.php,Ex-NASA contractor pleads guilty in cyberstalking scheme,0.18025746941566467,LOS ANGELES (AP) — A former NASA contractor who allegedly threatened to publish nude photos of seven women unless they sent him other explicit pictures has pleaded guilty to federal charges. Twenty-eight-year-old Richard Bauer of Los Angeles entered ...
http://234vibesnews.com/2018/10/12/hubble-space-telescope-malfunction-won-t-last-long-nasa-says.html,"Hubble Space Telescope Malfunction Won’t Last Long, NASA Says",0.5,Astronomers have recently been talking about how they can extend Hubble's life so that it could continue to serve the astronomy community. Hubble was created to be repaired by astronauts on the space shuttle. The closed gyroscope was showing signs of being ...
http://uspolitics24.com/2018/10/12/nasa-engineers-working-to-fix-hubble-after-gyroscope-failure.html,NASA engineers working to fix Hubble after gyroscope failure,0.07944658398628235,"Last week, the Hubble telescope stood down from observing and put itself into ""safe mode"" after one of its gyroscopes, which keeps it aimed at objects of scientific interest in space, died. Unfortunately, that backup gyroscope ""was not performing at the ..."
http://babescapes.gallery/2018/10/12/nasa-s-hubble-space-telescope-put-in-standby-due-to/,NASA’s Hubble Space Telescope Put In Standby Due To Gyroscope Failure,0.5,"A statement issued by the United States space agency said that Hubble entered safe mode on Friday, October 5, after one of the three gyros now used to position the telescope failed. Scientists are now performing analyses and tests to determine what options ..."
