articleLink,entity,wikiLink
https://www.usatoday.com/videos/tech/science/2018/10/11/space-station-could-go-crewless-after-soyuz-launch-failure/38127627/,NASA,https://en.wikipedia.org/wiki/NASA
https://www.chron.com/news/crime/article/Ex-NASA-contractor-pleads-guilty-in-cyberstalking-13300614.php,Los Angeles,https://en.wikipedia.org/wiki/Los_Angeles
https://www.chron.com/news/crime/article/Ex-NASA-contractor-pleads-guilty-in-cyberstalking-13300614.php,NASA,https://en.wikipedia.org/wiki/NASA
https://www.chron.com/news/crime/article/Ex-NASA-contractor-pleads-guilty-in-cyberstalking-13300614.php,Associated Press,https://en.wikipedia.org/wiki/Associated_Press
http://234vibesnews.com/2018/10/12/hubble-space-telescope-malfunction-won-t-last-long-nasa-says.html,Hubble Space Telescope,https://en.wikipedia.org/wiki/Hubble_Space_Telescope
http://uspolitics24.com/2018/10/12/nasa-engineers-working-to-fix-hubble-after-gyroscope-failure.html,Hubble Space Telescope,https://en.wikipedia.org/wiki/Hubble_Space_Telescope
http://babescapes.gallery/2018/10/12/nasa-s-hubble-space-telescope-put-in-standby-due-to/,NASA,https://en.wikipedia.org/wiki/NASA
http://babescapes.gallery/2018/10/12/nasa-s-hubble-space-telescope-put-in-standby-due-to/,October 5,https://en.wikipedia.org/wiki/October_5
http://babescapes.gallery/2018/10/12/nasa-s-hubble-space-telescope-put-in-standby-due-to/,Hubble Space Telescope,https://en.wikipedia.org/wiki/Hubble_Space_Telescope
http://www.communitynewspapergroup.com/waverly_newspapers/first-walk-on-the-moon/article_4035dfda-cd63-11e8-898c-7b4ab7287cd6.html,NASA,https://en.wikipedia.org/wiki/NASA
http://fairydetox.org/2018/10/11/iss-crew-in-good-condition-after-failed-space-launch.html,International Space Station,https://en.wikipedia.org/wiki/International_Space_Station
http://fairydetox.org/2018/10/11/iss-crew-in-good-condition-after-failed-space-launch.html,Nick Hague,https://en.wikipedia.org/wiki/Nick_Hague
http://fairydetox.org/2018/10/11/iss-crew-in-good-condition-after-failed-space-launch.html,United States,https://en.wikipedia.org/wiki/United_States
http://fairydetox.org/2018/10/11/iss-crew-in-good-condition-after-failed-space-launch.html,Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
http://fairydetox.org/2018/10/11/iss-crew-in-good-condition-after-failed-space-launch.html,NASA,https://en.wikipedia.org/wiki/NASA
