articleLink,phrase
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,launch
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,Soyuz
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,NASA
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,Russian counterpart Roscosmos
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,moment
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,escape tower
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,incident
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,loss
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,dust
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,problems
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,engineers
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,Deputy Speaker Kithure Kindiki
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,letter
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,NASA Minority Leader James Orengo
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,senators
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,nominated colleague Beatrice Kwamboka
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,ODM
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,coalition’s parliamentary group meeting
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,emotional reunion
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,launch site
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,rocket
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,Soyuz MS
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,ground
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,failure
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,families
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,rescue teams
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,NASA
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,miles
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,round
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,KEB Hana Bank Championship
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,South Korea
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,Danielle Kang
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,Charley Hull
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,Nasa Hataoka of Japan
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,INCHEON
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,stroke lead
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,crewed Apollo mission
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,test flights
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,spacecraft
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,way
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,NASA
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,moon
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,years
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,Soviet Union
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,fact
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,manned lunar mission
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,little known
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,space program’s achievement
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,current Hollywood film
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,moon
http://www.staradvertiser.com/2018/10/11/nyt/first-man-an-intimate-character-study-of-astronaut-neil-armstrong/,grainy NASA footage
http://www.staradvertiser.com/2018/10/11/nyt/first-man-an-intimate-character-study-of-astronaut-neil-armstrong/,deafening noise
http://www.staradvertiser.com/2018/10/11/nyt/first-man-an-intimate-character-study-of-astronaut-neil-armstrong/,claustrophobia
http://www.staradvertiser.com/2018/10/11/nyt/first-man-an-intimate-character-study-of-astronaut-neil-armstrong/,TV
http://www.staradvertiser.com/2018/10/11/nyt/first-man-an-intimate-character-study-of-astronaut-neil-armstrong/,majesty
https://www.syfy.com/syfywire/voyager-2-may-soon-break-into-interstellar-space,NASA’s Voyager
https://www.syfy.com/syfywire/voyager-2-may-soon-break-into-interstellar-space,solar system
https://www.syfy.com/syfywire/voyager-2-may-soon-break-into-interstellar-space,probe
https://www.syfy.com/syfywire/voyager-2-may-soon-break-into-interstellar-space,twin satellite
https://www.syfy.com/syfywire/voyager-2-may-soon-break-into-interstellar-space,interstellar space
https://www.syfy.com/syfywire/voyager-2-may-soon-break-into-interstellar-space,suspense
https://www.upi.com/Top_News/US/2018/10/11/Ex-NASA-contractor-pleads-guilty-to-hacking-womens-accounts-to-get-nude-photos/9341539309576/,NASA contractor
https://www.upi.com/Top_News/US/2018/10/11/Ex-NASA-contractor-pleads-guilty-to-hacking-womens-accounts-to-get-nude-photos/9341539309576/,social media accounts of women
https://www.upi.com/Top_News/US/2018/10/11/Ex-NASA-contractor-pleads-guilty-to-hacking-womens-accounts-to-get-nude-photos/9341539309576/,victims
https://www.upi.com/Top_News/US/2018/10/11/Ex-NASA-contractor-pleads-guilty-to-hacking-womens-accounts-to-get-nude-photos/9341539309576/,nude photos
https://www.upi.com/Top_News/US/2018/10/11/Ex-NASA-contractor-pleads-guilty-to-hacking-womens-accounts-to-get-nude-photos/9341539309576/,Richard Gregory Bauer
https://www.upi.com/Top_News/US/2018/10/11/Ex-NASA-contractor-pleads-guilty-to-hacking-womens-accounts-to-get-nude-photos/9341539309576/,Attorneys
https://www.upi.com/Top_News/US/2018/10/11/Ex-NASA-contractor-pleads-guilty-to-hacking-womens-accounts-to-get-nude-photos/9341539309576/,UPI
https://www.upi.com/Top_News/US/2018/10/11/Ex-NASA-contractor-pleads-guilty-to-hacking-womens-accounts-to-get-nude-photos/9341539309576/,NASA's
https://www.usatoday.com/videos/tech/science/2018/10/11/watch-nasas-trippy-simulation-pulsars-chaotic-surroundings/38125067/,NASA's trippy simulation
https://www.usatoday.com/videos/tech/science/2018/10/11/watch-nasas-trippy-simulation-pulsars-chaotic-surroundings/38125067/,pulsar's chaotic surroundings NASA's new PIC simulation sheds new light
https://www.usatoday.com/videos/tech/science/2018/10/11/watch-nasas-trippy-simulation-pulsars-chaotic-surroundings/38125067/,pulsar's complex environment
https://www.usatoday.com/videos/tech/science/2018/10/11/watch-nasas-trippy-simulation-pulsars-chaotic-surroundings/38125067/,time
https://www.usatoday.com/videos/tech/science/2018/10/11/watch-nasas-trippy-simulation-pulsars-chaotic-surroundings/38125067/,story
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,female friends
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,social media accounts
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,family members
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,identity
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,email
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,co-workers
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,Richard Gregory Bauer
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,cases
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,attorney’s office
https://newsline.com/2018/10/11/betty-grissom-astronaut-wife-who-sued-nasa-partner-dies-at-91/,Florida
https://newsline.com/2018/10/11/betty-grissom-astronaut-wife-who-sued-nasa-partner-dies-at-91/,wife
https://newsline.com/2018/10/11/betty-grissom-astronaut-wife-who-sued-nasa-partner-dies-at-91/,Mark
https://newsline.com/2018/10/11/betty-grissom-astronaut-wife-who-sued-nasa-partner-dies-at-91/,Kennedy Space Center
https://newsline.com/2018/10/11/betty-grissom-astronaut-wife-who-sued-nasa-partner-dies-at-91/,ImageThe astronaut Virgil Grissom
https://newsline.com/2018/10/11/betty-grissom-astronaut-wife-who-sued-nasa-partner-dies-at-91/,Betty
https://newsline.com/2018/10/11/betty-grissom-astronaut-wife-who-sued-nasa-partner-dies-at-91/,sons
https://newsline.com/2018/10/11/betty-grissom-astronaut-wife-who-sued-nasa-partner-dies-at-91/,Scott
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,high-speed flight
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,ballistic landing
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,NASA
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,rocket
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,atmosphere
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,minutes
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,crew
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,engine
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,NASA astronaut Nick Hague
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,NASA director Jim Bridenstine
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,Russian cosmonaut Alexey Ovchinin
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,good condition
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,CNN
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,emergency landing
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,incident investigation
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,launch of Soyuz MS
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,Roscosmos
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,German
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,current crew
